"","Player","AB","R","HR","RBI","SB","AVG","OBP","H","2B","3B","BB","SO","SLG","OPS","Own","POSRANK","POS","Rscaled","HRscaled","RBIscaled","SBscaled","OBPscaled","RSGP","HRSGP","RBISGP","SBSGP","totalScaled","totalSGP","Jenks","OverallRank","label","Tier"
"1","Mike Trout (LAA - CF,DH)",508,113,39,95,24,0.31,0.44,157,28,4,118,124,0.613,1.053,"99%",1,"of",2.40018144860514,1.74617876781716,1.14533302452248,1.34228971824721,3.74732219362249,5.77932761087267,4.5323039414872,4.74751004717806,3.1442968392121,10.3813051528145,18.20343843875,"10",1,"Mike Trout (LAA - CF,DH) as OF. Total: 10.38",1
"2","Mookie Betts (BOS - CF,RF)",585,117,30,92,26,0.308,0.387,180,43,4,75,90,0.551,0.938,"99%",2,"of",2.70855593878995,0.72124775192448,0.956887005862478,1.55849745809911,1.69240159080829,5.98390557939914,3.48638764729785,4.59758867726717,3.4063215758131,7.63758974548431,17.4742034797773,"9",2,"Mookie Betts (BOS - CF,RF) as OF. Total: 7.64",2
"3","Jose Ramirez (CLE - 2B,3B)",566,100,30,96,24,0.288,0.375,163,42,4,78,74,0.54,0.915,"99%",1,"2b",2.10826409598267,1.2383072899196,1.65592679222322,0.656065138021466,1.68489150112961,5.11444921316166,3.48638764729785,4.79748383714835,3.1442968392121,7.34345481727656,16.54261753682,"9",3,"Jose Ramirez (CLE - 2B,3B) as 2B. Total: 7.34",2
"4","J.T. Realmuto (PHI - C,1B)",494,71,22,75,5,0.277,0.327,137,29,3,37,106,0.479,0.806,"99%",1,"c",2.18941855691285,1.3436146342057,1.81618811487121,1.51684889319406,0.423297402100481,3.63125894134478,2.55668427468509,3.74803424777215,0.65506184150252,7.28936760128431,10.5910393053045,"9",4,"J.T. Realmuto (PHI - C,1B) as C. Total: 7.29",2
"5","Jose Ramirez (CLE - 2B,3B)",566,100,30,96,24,0.288,0.375,163,42,4,78,74,0.54,0.915,"99%",2,"3b",1.59148384615097,0.64702709973896,0.998073716843806,2.76199118711949,1.20673911891429,5.11444921316166,3.48638764729785,4.79748383714835,3.1442968392121,7.20531496876752,16.54261753682,"9",5,"Jose Ramirez (CLE - 2B,3B) as 3B. Total: 7.21",2
"6","Gary Sanchez (NYY - C,DH)",446,72,29,80,2,0.245,0.317,109,21,1,47,119,0.492,0.809,"99%",2,"c",2.28160460141445,2.54174233349741,2.20509349278796,-0.168538765910451,-0.0199459508843161,3.68240343347639,3.37017472572125,3.99790319762363,0.262024736601008,6.83995571090505,11.3125060934223,"9",6,"Gary Sanchez (NYY - C,DH) as C. Total: 6.84",2
"7","Nolan Arenado (COL - 3B)",586,100,38,113,2,0.292,0.363,171,38,4,65,113,0.563,0.926,"99%",1,"3b",1.59148384615097,2.63787971432038,2.72063749210723,-0.781087886736417,0.641080156923214,5.11444921316166,4.41609101991061,5.64703826664337,0.262024736601008,6.80999332276537,15.4396032363166,"9",7,"Nolan Arenado (COL - 3B) as 3B. Total: 6.81",2
"8","Bryce Harper (PHI - CF,RF)",516,99,35,100,11,0.269,0.398,139,28,1,111,145,0.53,0.928,"99%",7,"of",1.32087073295829,1.29065387186486,1.45940972228916,-0.0630605907901374,2.11889454610935,5.06330472103004,4.06745225518082,4.99737899702953,1.44113605130554,6.12676828243152,15.5692720245459,"8",8,"Bryce Harper (PHI - CF,RF) as OF. Total: 6.13",3
"9","J.D. Martinez (BOS - LF,RF,DH)",540,98,40,115,4,0.306,0.379,165,33,2,63,145,0.599,0.977,"99%",3,"of",1.24377711041209,1.86005999180524,2.4016398155892,-0.819787680271786,1.38222489604389,5.01216022889842,4.6485168630638,5.74698584658396,0.524049473202016,6.06791413357862,15.9317124117482,"8",9,"J.D. Martinez (BOS - LF,RF,DH) as OF. Total: 6.07",3
"10","Alex Bregman (HOU - 3B,SS)",569,99,27,94,11,0.287,0.373,164,41,3,77,86,0.515,0.888,"99%",4,"ss",1.71822423052172,0.803122300077423,1.25094001220052,-0.408316831469501,1.90029636562339,5.06330472103004,3.13774888256806,4.69753625720776,1.44113605130554,5.26426607695355,14.3397259121114,"8",10,"Alex Bregman (HOU - 3B,SS) as SS. Total: 5.26",3
