"","Player","AB","R","HR","RBI","SB","AVG","OBP","H","2B","3B","BB","SO","SLG","OPS","Own","POSRANK","POS","Rscaled","HRscaled","RBIscaled","SBscaled","OBPscaled","RSGP","HRSGP","RBISGP","SBSGP","totalScaled","totalSGP","Jenks","OverallRank","label","Tier"
"33","Khris Davis (OAK - LF,DH)",562,91,42,111,1,0.249,0.321,140,26,1,60,173,0.525,0.846,"99%",12,"of",0.70412175258866,2.08782243978139,2.15037845737585,-1.14409929004964,-0.86655614099806,4.65414878397711,4.88094270621699,5.54709068670278,0.131012368300504,2.93166721869821,15.2131945451974,"6",33,"Khris Davis (OAK - LF,DH) as OF. Total: 2.93",5
"34","Anthony Rizzo (CHC - 1B)",556,87,28,99,7,0.281,0.366,156,32,2,75,86,0.5,0.866,"99%",3,"1b",0.622445841377877,0.265973827254363,1.31252910827367,0.0500659196067404,0.652727919978714,4.44957081545064,3.25396180414466,4.94740520705924,0.917086578103528,2.90374261649137,13.5680244047581,"6",34,"Anthony Rizzo (CHC - 1B) as 1B. Total: 2.9",5
"35","Javier Baez (CHC - 2B,3B,SS)",582,88,31,96,17,0.278,0.316,162,33,6,33,159,0.512,0.829,"99%",6,"ss",0.659374564653992,1.39256985976727,1.39898025033076,0.0673920983978789,-0.633432121874463,4.50071530758226,3.60260056887444,4.79748383714835,2.22721026110857,2.88488465127544,15.1280099747136,"6",35,"Javier Baez (CHC - 2B,3B,SS) as SS. Total: 2.88",5
"36","Cody Bellinger (LAD - 1B,CF)",543,88,31,93,12,0.262,0.345,143,28,5,69,147,0.506,0.851,"99%",5,"1b",0.746935009653452,0.735339404762063,0.731335407193079,0.765293342560176,-0.258055224177632,4.50071530758226,3.60260056887444,4.64756246723747,1.57214841960605,2.72084793999114,14.3230267633002,"6",36,"Cody Bellinger (LAD - 1B,CF) as 1B. Total: 2.72",5
"37","Kris Bryant (CHC - 3B,RF)",551,97,28,85,6,0.282,0.37,156,35,4,77,139,0.511,0.881,"99%",14,"of",1.16668348786588,0.493485303948328,0.517179628989129,-0.603579940419886,1.03327611443393,4.96101573676681,3.25396180414466,4.2477721474751,0.786074209803024,2.60704459481738,13.2488238981896,"6",37,"Kris Bryant (CHC - 3B,RF) as OF. Total: 2.61",5
"38","Manny Machado (SD - 3B,SS)",595,87,32,94,9,0.284,0.349,169,32,3,59,102,0.509,0.858,"99%",4,"3b",0.286165865080774,1.14474025338431,0.795419155048109,0.34625545494501,-0.0188552987330362,4.44957081545064,3.71881349045104,4.69753625720776,1.17911131470454,2.55372542972517,14.045031877814,"6",38,"Manny Machado (SD - 3B,SS) as 3B. Total: 2.55",5
"39","Cody Bellinger (LAD - 1B,CF)",543,88,32,93,12,0.263,0.345,143,28,5,69,148,0.508,0.853,"99%",15,"of",0.472840884950049,0.949010199900631,1.01970234541581,0.0450432791358124,0.0639739432951582,4.50071530758226,3.71881349045104,4.64756246723747,1.57214841960605,2.55057065269746,14.4392396848768,"6",39,"Cody Bellinger (LAD - 1B,CF) as OF. Total: 2.55",5
"40","Andrew Benintendi (BOS - LF,CF)",577,98,18,83,19,0.285,0.361,164,38,5,68,104,0.464,0.825,"99%",11,"of",1.24377711041209,-0.645326935932429,0.391548949882458,0.801770368617461,0.684327332823972,5.01216022889842,2.09183258837871,4.14782456753451,2.48923499770958,2.47609682580355,13.7410523825212,"6",40,"Andrew Benintendi (BOS - LF,CF) as OF. Total: 2.48",5
"41","Kris Bryant (CHC - 3B,RF)",551,97,28,85,6,0.282,0.37,156,35,4,77,139,0.511,0.881,"99%",6,"3b",1.29025661975016,0.149313946093606,-0.116526373032526,-0.136891691489887,0.971047884751339,4.96101573676681,3.25396180414466,4.2477721474751,0.786074209803024,2.15720038607269,13.2488238981896,"6",41,"Kris Bryant (CHC - 3B,RF) as 3B. Total: 2.16",5
"42","Xander Bogaerts (BOS - SS)",570,88,21,91,10,0.288,0.352,164,38,3,57,111,0.477,0.829,"99%",7,"ss",0.659374564653992,-0.0810490394573547,1.02887965500516,-0.487601653114064,0.966817449176812,4.50071530758226,2.44047135310849,4.54761488729687,1.31012368300504,2.08642097626455,12.7989252309927,"6",42,"Xander Bogaerts (BOS - SS) as SS. Total: 2.09",5
"43","Carlos Correa (HOU - SS)",537,85,24,93,5,0.274,0.354,147,30,2,67,126,0.47,0.824,"99%",10,"ss",0.370597383053704,0.361036630310034,1.1769198931354,-0.88402576133688,1.05572020312411,4.34728183118741,2.78911011783828,4.64756246723747,0.65506184150252,2.08024834828636,12.4390162577657,"6",43,"Carlos Correa (HOU - SS) as SS. Total: 2.08",5
"44","Javier Baez (CHC - 2B,3B,SS)",577,88,30,95,17,0.278,0.316,161,33,6,32,158,0.512,0.829,"99%",5,"3b",0.386574940547712,0.64702709973896,0.896746435945957,1.63464784543807,-1.57441744420848,4.50071530758226,3.48638764729785,4.74751004717806,2.22721026110857,1.99057887746222,14.9618232631667,"6",44,"Javier Baez (CHC - 2B,3B,SS) as 3B. Total: 1.99",5
"45","Joey Gallo (TEX - 1B,LF,CF,RF)",494,85,41,93,5,0.218,0.32,107,22,2,75,199,0.519,0.84,"92%",10,"1b",0.373467504826726,2.29989132978773,0.731335407193079,-0.236025049574634,-1.3423208719828,4.34728183118741,4.76472978464039,4.64756246723747,0.65506184150252,1.8263483202501,14.4146359245678,"6",45,"Joey Gallo (TEX - 1B,LF,CF,RF) as 1B. Total: 1.83",5
"46","George Springer (HOU - CF,RF,DH)",560,102,27,78,7,0.271,0.348,152,28,1,66,124,0.467,0.815,"99%",18,"of",1.5521516005969,0.379604079960252,0.0774722521157806,-0.495476070493937,0.180290203831811,5.21673819742489,3.13774888256806,3.89795561768304,0.917086578103528,1.69404206601081,13.1695292757795,"6",46,"George Springer (HOU - CF,RF,DH) as OF. Total: 1.69",5
"47","Joey Gallo (TEX - 1B,LF,CF,RF)",493,84,41,92,5,0.216,0.32,107,22,2,75,200,0.518,0.838,"92%",28,"of",0.164466394765235,1.97394121579331,0.956887005862478,-0.711683810345836,-0.905328227843611,4.29613733905579,4.76472978464039,4.59758867726717,0.65506184150252,1.47828257823158,14.3135176424659,"5",47,"Joey Gallo (TEX - 1B,LF,CF,RF) as OF. Total: 1.48",6
"48","Matt Carpenter (STL - 1B,2B,3B)",528,96,28,76,3,0.255,0.369,135,34,2,95,140,0.487,0.856,"99%",12,"1b",1.74284835585806,0.265973827254363,-0.915380079201934,-0.522116018756008,0.782839797715335,4.90987124463519,3.25396180414466,3.79800803774244,0.393037104901512,1.35416588286981,12.3548781914238,"5",48,"Matt Carpenter (STL - 1B,2B,3B) as 1B. Total: 1.35",6
"49","Tommy Pham (TB - LF,CF)",504,92,22,69,17,0.272,0.358,137,21,4,68,146,0.461,0.819,"97%",22,"of",0.781215375134864,-0.189802039980126,-0.487865803864239,0.585562628765561,0.568011072287319,4.70529327610872,2.55668427468509,3.44819150795038,2.22721026110857,1.25712123234338,12.9373793198528,"5",49,"Tommy Pham (TB - LF,CF) as OF. Total: 1.26",6
"50","Joey Votto (CIN - 1B)",519,84,21,81,4,0.29,0.41,151,29,2,105,100,0.479,0.889,"99%",9,"1b",0.248978336551151,-0.829212520263603,-0.431051994968107,-0.379070534165321,2.56103546011582,4.29613733905579,2.44047135310849,4.04787698759392,0.524049473202016,1.17067874726994,11.3085351529602,"5",50,"Joey Votto (CIN - 1B) as 1B. Total: 1.17",6
"51","Travis Shaw (MIL - 1B,3B,2B)",512,76,28,88,6,0.255,0.339,131,27,1,65,119,0.479,0.818,"92%",11,"2b",-0.466714952545781,0.930653304846404,1.04262057288128,-0.717094453186254,0.293696683683143,3.88698140200286,3.25396180414466,4.39769351738599,0.786074209803024,1.0831611556788,12.3247109333365,"5",51,"Travis Shaw (MIL - 1B,3B,2B) as 2B. Total: 1.08",6
"52","Andrew McCutchen (PHI - LF,RF)",541,87,24,76,11,0.263,0.356,142,27,2,79,131,0.455,0.811,"92%",30,"of",0.395747262403846,0.0379604079960251,-0.0481584269908905,-0.0630605907901374,0.490466898596217,4.44957081545064,2.78911011783828,3.79800803774244,1.44113605130554,0.81295555121506,12.4778250223369,"5",52,"Andrew McCutchen (PHI - LF,RF) as OF. Total: 0.81",6
"53","Max Muncy (LAD - 1B,2B,3B)",461,75,29,77,3,0.249,0.356,115,20,2,77,141,0.489,0.845,"90%",15,"2b",-0.574005746234467,1.084480297383,0.199324521286128,-0.945954385054207,0.950649791921753,3.83583690987124,3.37017472572125,3.84798182771274,0.393037104901512,0.714494479302206,11.4470305682067,"5",53,"Max Muncy (LAD - 1B,2B,3B) as 2B. Total: 0.71",6
"54","Anthony Rendon (WSH - 3B)",542,87,24,92,5,0.295,0.37,160,40,2,65,90,0.507,0.877,"99%",7,"3b",0.286165865080774,-0.846112361197101,0.592764593252412,-0.29794074030152,0.971047884751339,4.44957081545064,2.78911011783828,4.59758867726717,0.65506184150252,0.705925241585905,12.4913314520586,"5",54,"Anthony Rendon (WSH - 3B) as 3B. Total: 0.71",6
"55","Daniel Murphy (COL - 1B,2B)",521,80,22,81,4,0.309,0.359,161,35,3,40,70,0.517,0.876,"99%",5,"2b",-0.0375517777910393,0.00769134962682989,0.505977630957094,-0.869667741098223,1.06658269337563,4.09155937052933,2.55668427468509,4.04787698759392,0.524049473202016,0.673032155070287,11.2201701060104,"5",55,"Daniel Murphy (COL - 1B,2B) as 2B. Total: 0.67",6
"56","Matt Carpenter (STL - 1B,2B,3B)",528,96,28,76,3,0.255,0.369,135,34,2,96,140,0.488,0.857,"99%",12,"3b",1.18984754428322,0.149313946093606,-1.02847190111316,-0.620038837924784,0.92390963791875,4.90987124463519,3.25396180414466,3.79800803774244,0.393037104901512,0.61456038925763,12.3548781914238,"5",56,"Matt Carpenter (STL - 1B,2B,3B) as 3B. Total: 0.61",6
"57","Eugenio Suarez (CIN - 3B)",543,82,30,95,3,0.268,0.347,146,26,2,65,142,0.491,0.838,"98%",8,"3b",-0.215879512253918,0.64702709973896,0.896746435945957,-0.620038837924784,-0.113131792398215,4.19384835479256,3.48638764729785,4.74751004717806,0.393037104901512,0.594723393108,12.82078315417,"5",57,"Eugenio Suarez (CIN - 3B) as 3B. Total: 0.59",6
"58","Justin Upton (LAA - LF,DH)",532,82,29,88,8,0.254,0.333,135,25,1,63,170,0.471,0.803,"96%",29,"of",0.0102791496728277,0.607366527936404,0.705625647649136,-0.387372200567987,-0.40129109885145,4.19384835479256,3.37017472572125,4.39769351738599,1.04809894640403,0.534608025838931,13.0098155443038,"5",58,"Justin Upton (LAA - LF,DH) as OF. Total: 0.53",6
"59","Brian Dozier (WSH - 2B)",536,82,26,78,12,0.243,0.322,130,28,3,62,121,0.451,0.773,"89%",13,"2b",0.177029809586332,0.622999319773212,0.275987798703869,-0.259374589450347,-0.363256424555468,4.19384835479256,3.02153596099147,3.89795561768304,1.57214841960605,0.453385914057598,12.6854883530731,"5",59,"Brian Dozier (WSH - 2B) as 2B. Total: 0.45",6
"60","Francisco Cervelli (PIT - C)",359,44,10,48,3,0.259,0.347,93,16,3,49,87,0.398,0.745,"58%",9,"c",-0.29960464463018,-0.710318564580083,-0.283900925879226,0.39325712045772,1.30978410807007,2.25035765379113,1.16212921576595,2.39874191857418,0.393037104901512,0.409217093438304,6.20426589303277,"5",60,"Francisco Cervelli (PIT - C) as C. Total: 0.41",6
"61","Whit Merrifield (KC - 1B,2B,CF,RF,DH)",594,83,13,65,34,0.287,0.339,171,38,4,47,105,0.432,0.771,"99%",17,"of",0.0873727722190313,-1.21473305587281,-0.739127162077582,2.42332841750671,-0.168658577778145,4.24499284692418,1.51076798049573,3.2482963480692,4.45442052221713,0.388182393997205,13.4584776977062,"5",61,"Whit Merrifield (KC - 1B,2B,CF,RF,DH) as OF. Total: 0.39",6
"62","Corey Seager (LAD - SS)",543,85,21,76,4,0.287,0.355,156,32,2,57,114,0.473,0.828,"98%",11,"ss",0.370597383053704,-0.0810490394573547,-0.0814221309716308,-0.963310582981443,1.10017158009775,4.34728183118741,2.44047135310849,3.79800803774244,0.524049473202016,0.344987209741027,11.1098106952404,"5",62,"Corey Seager (LAD - SS) as SS. Total: 0.34",6
"63","Michael Conforto (NYM - LF,CF,RF)",530,81,29,86,3,0.252,0.347,134,27,2,77,151,0.477,0.824,"93%",31,"of",-0.066814472873376,0.607366527936404,0.579994968542465,-0.927891550197736,0.14151811698626,4.14270386266094,3.37017472572125,4.2977459374454,0.393037104901512,0.334173590394017,12.2036616307291,"5",63,"Michael Conforto (NYM - LF,CF,RF) as OF. Total: 0.33",6
"64","Mitch Haniger (SEA - CF,RF)",564,85,25,83,7,0.274,0.344,154,33,3,60,139,0.475,0.819,"98%",24,"of",0.241560017311439,0.151841631984101,0.391548949882458,-0.495476070493937,0.0252018564496074,4.34728183118741,2.90532303941487,4.14782456753451,0.917086578103528,0.314676385133668,12.3175160162403,"5",64,"Mitch Haniger (SEA - CF,RF) as OF. Total: 0.31",6
"65","Ozzie Albies (ATL - 2B)",594,90,21,73,16,0.271,0.317,161,34,6,40,107,0.455,0.772,"99%",7,"2b",1.03535615909582,-0.146135642909766,-0.107328588384839,0.0457719863735907,-0.556477926978589,4.60300429184549,2.44047135310849,3.64808666783156,2.09619789280806,0.271185987196213,12.7877602055936,"5",65,"Ozzie Albies (ATL - 2B) as 2B. Total: 0.27",6
"66","Starling Marte (PIT - CF)",554,81,17,67,33,0.282,0.324,156,29,5,34,110,0.446,0.77,"99%",16,"of",-0.066814472873376,-0.759208159920505,-0.61349648297091,2.31522454758076,-0.750239880461407,4.14270386266094,1.97561966680211,3.34824392800979,4.32340815391663,0.125465551354559,13.7899756113895,"4",66,"Starling Marte (PIT - CF) as OF. Total: 0.13",7
"67","Yasiel Puig (CIN - RF)",493,73,27,80,14,0.274,0.341,135,26,2,50,104,0.498,0.838,"96%",23,"of",-0.683563453243005,0.379604079960252,0.203102931222452,0.261251018987712,-0.091114404087043,3.73354792560801,3.13774888256806,3.99790319762363,1.83417315620706,0.0692801728403681,12.7033731620068,"4",67,"Yasiel Puig (CIN - RF) as OF. Total: 0.07",7
"68","Whit Merrifield (KC - 1B,2B,CF,RF,DH)",594,83,13,65,34,0.287,0.339,171,38,4,47,105,0.432,0.771,"99%",4,"2b",0.284320603275017,-1.37675158320253,-0.720634807726771,1.41893157758131,0.293696683683143,4.24499284692418,1.51076798049573,3.2482963480692,4.45442052221713,-0.10043752638983,13.4584776977062,"4",68,"Whit Merrifield (KC - 1B,2B,CF,RF,DH) as 2B. Total: -0.1",7
"69","Marcell Ozuna (STL - LF)",569,77,27,94,2,0.286,0.339,163,24,3,46,117,0.479,0.819,"98%",20,"of",-0.37518896305819,0.379604079960252,1.08251768496915,-1.03599542012369,-0.168658577778145,3.93812589413448,3.13774888256806,4.69753625720776,0.262024736601008,-0.117721196030619,12.0354357705113,"4",69,"Marcell Ozuna (STL - LF) as OF. Total: -0.12",7
"70","Wilson Ramos (NYM - C,DH)",391,44,16,61,0,0.277,0.327,109,19,1,29,76,0.452,0.779,"91%",7,"c",-0.29960464463018,0.316648034812808,0.727253056704319,-1.29213053864679,0.423297402100481,2.25035765379113,1.85940674522552,3.04840118818802,0,-0.124536689659366,7.15816558720466,"4",70,"Wilson Ramos (NYM - C,DH) as C. Total: -0.12",7
"71","Rougned Odor (TEX - 2B,DH)",562,83,26,78,14,0.249,0.299,140,28,3,40,138,0.449,0.748,"89%",10,"2b",0.284320603275017,0.622999319773212,0.275987798703869,-0.106801301538378,-1.25207533570182,4.24499284692418,3.02153596099147,3.89795561768304,1.83417315620706,-0.175568915488104,12.9986575818057,"4",71,"Rougned Odor (TEX - 2B,DH) as 2B. Total: -0.18",7
"72","Danny Jansen (TOR - C)",361,47,12,46,3,0.253,0.323,91,22,1,37,69,0.42,0.742,"65%",8,"c",-0.0230465111253984,-0.367996364782453,-0.439463077045925,0.39325712045772,0.246000060906562,2.40379113018598,1.39455505891914,2.29879433863359,0.393037104901512,-0.191248771589494,6.49017763264022,"4",72,"Danny Jansen (TOR - C) as C. Total: -0.19",7
"73","Lorenzo Cain (MIL - CF)",553,87,13,53,24,0.293,0.363,162,27,3,61,100,0.423,0.786,"98%",27,"of",0.395747262403846,-1.21473305587281,-1.49291123671761,1.34228971824721,0.761871506515073,4.44957081545064,1.51076798049573,2.64861086842565,3.1442968392121,-0.207735805424287,11.7532465035841,"4",73,"Lorenzo Cain (MIL - CF) as OF. Total: -0.21",7
"74","Gleyber Torres (NYY - 2B,SS)",525,71,25,83,9,0.27,0.334,142,24,2,51,135,0.469,0.803,"99%",9,"2b",-1.00316892098921,0.469172327236617,0.659304185792577,-0.488234521318301,0.100475181260022,3.63125894134478,2.90532303941487,4.14782456753451,1.17911131470454,-0.262451748018293,11.8635178629987,"4",74,"Gleyber Torres (NYY - 2B,SS) as 2B. Total: -0.26",7
"75","Carlos Santana (CLE - 1B,3B)",535,83,24,86,3,0.249,0.361,133,30,2,94,89,0.449,0.81,"88%",17,"1b",0.124489168275575,-0.359846942755903,0.0532760892657207,-0.522116018756008,0.43587479041768,4.24499284692418,2.78911011783828,4.2977459374454,0.393037104901512,-0.268322913552936,11.7248860071094,"4",75,"Carlos Santana (CLE - 1B,3B) as 1B. Total: -0.27",7
"76","Aaron Hicks (NYY - CF) DL10",471,80,23,72,10,0.252,0.354,119,21,2,74,105,0.455,0.809,"88%",36,"of",-0.14390809541958,-0.0759208159920506,-0.299419785204233,-0.171164460716087,0.412922724905116,4.09155937052933,2.67289719626168,3.59811287786126,1.31012368300504,-0.277490432426834,11.6726931276573,"4",76,"Aaron Hicks (NYY - CF) DL10 as OF. Total: -0.28",7
"77","Nicholas Castellanos (DET - RF)",591,82,25,89,3,0.284,0.336,168,39,6,46,141,0.498,0.834,"96%",21,"of",0.0102791496728277,0.151841631984101,0.768440987202472,-0.927891550197736,-0.284974838314797,4.19384835479256,2.90532303941487,4.44766730735628,0.393037104901512,-0.282304619653133,11.9398758064652,"4",77,"Nicholas Castellanos (DET - RF) as OF. Total: -0.28",7
"78","Austin Barnes (LAD - C,2B)",303,42,8,34,6,0.236,0.329,72,14,1,42,79,0.364,0.693,"9%",20,"c",-0.483976733633367,-1.05264076437771,-1.37283598404612,2.07864477956223,0.51194607269744,2.1480686695279,0.92970337261276,1.69910885899004,0.786074209803024,-0.318862629797526,5.56295511093372,"4",78,"Austin Barnes (LAD - C,2B) as C. Total: -0.32",7
"79","Gleyber Torres (NYY - 2B,SS)",527,72,25,83,9,0.27,0.334,142,24,2,51,134,0.468,0.802,"99%",12,"ss",-0.880770403880882,0.508398520232497,0.436718702484204,-0.566886474758627,0.166692663651176,3.68240343347639,2.90532303941487,4.14782456753451,1.17911131470454,-0.335846992271631,11.9146623551303,"4",79,"Gleyber Torres (NYY - 2B,SS) as SS. Total: -0.34",7
"80","Eddie Rosario (MIN - LF)",569,85,25,82,9,0.282,0.322,161,32,3,33,112,0.484,0.806,"98%",19,"of",0.241560017311439,0.151841631984101,0.328733610329123,-0.279268330642037,-0.827784054152509,4.34728183118741,2.90532303941487,4.09785077756422,1.17911131470454,-0.384917125169884,12.529566962871,"4",80,"Eddie Rosario (MIN - LF) as OF. Total: -0.38",7
"81","Jesus Aguilar (MIL - 1B)",522,78,32,96,0,0.259,0.33,135,26,1,55,148,0.496,0.825,"97%",11,"1b",-0.497956673102302,0.89179459726463,1.02193225773338,-0.951252472528069,-0.908614612860734,3.98927038626609,3.71881349045104,4.79748383714835,0,-0.444096903493099,12.5055677138655,"4",81,"Jesus Aguilar (MIL - 1B) as 1B. Total: -0.44",7
"82","Wil Myers (SD - 3B,LF,RF)",526,75,24,74,19,0.252,0.324,132,30,3,56,155,0.457,0.781,"91%",35,"of",-0.529376208150598,0.0379604079960251,-0.173789106097562,0.801770368617461,-0.750239880461407,3.83583690987124,2.78911011783828,3.69806045780185,2.48923499770958,-0.61367441809608,12.812242483221,"4",82,"Wil Myers (SD - 3B,LF,RF) as OF. Total: -0.61",7
"83","Whit Merrifield (KC - 1B,2B,CF,RF,DH)",592,83,13,65,33,0.286,0.338,169,38,4,46,105,0.431,0.769,"99%",7,"1b",0.124489168275575,-2.08085406028414,-1.98090186451635,3.76924851896461,-0.561649605563078,4.24499284692418,1.51076798049573,3.2482963480692,4.32340815391663,-0.729667843123388,13.3274653294057,"4",83,"Whit Merrifield (KC - 1B,2B,CF,RF,DH) as 1B. Total: -0.73",7
"84","Travis Shaw (MIL - 1B,3B,2B)",512,76,28,88,6,0.255,0.339,131,27,1,64,119,0.478,0.816,"92%",13,"1b",-0.746935009653452,0.265973827254363,0.247007322959252,-0.0929795649839467,-0.518278979650871,3.88698140200286,3.25396180414466,4.39769351738599,0.786074209803024,-0.845212404074655,12.3247109333365,"4",84,"Travis Shaw (MIL - 1B,3B,2B) as 1B. Total: -0.85",7
"85","David Dahl (COL - LF,CF,RF)",511,73,26,82,11,0.277,0.325,142,28,6,36,133,0.508,0.833,"92%",25,"of",-0.683563453243005,0.265722855972177,0.328733610329123,-0.0630605907901374,-0.711467793615856,3.73354792560801,3.02153596099147,4.09785077756422,1.44113605130554,-0.863635371347699,12.2940707154692,"4",85,"David Dahl (COL - LF,CF,RF) as OF. Total: -0.86",7
"86","Jean Segura (PHI - SS)",593,89,13,64,21,0.293,0.333,174,30,3,36,83,0.423,0.756,"98%",9,"ss",0.755633625187422,-1.25994415883706,-0.969663559753063,0.384531384976132,0.122241286677529,4.55185979971387,1.51076798049573,3.1983225580989,2.75125973431058,-0.967201421749038,12.0122100726191,"3",86,"Jean Segura (PHI - SS) as SS. Total: -0.97",8
"87","Robinson Cano (NYM - 2B)",534,74,21,81,1,0.282,0.341,151,30,1,48,80,0.46,0.8,"93%",12,"2b",-0.681296539923152,-0.146135642909766,0.505977630957094,-1.09852767296618,0.370985284652392,3.78469241773963,2.44047135310849,4.04787698759392,0.131012368300504,-1.04899694018961,10.4040531267425,"3",87,"Robinson Cano (NYM - 2B) as 2B. Total: -1.05",8
"88","Adalberto Mondesi (KC - 2B,SS)",523,77,20,63,43,0.253,0.289,132,25,6,27,144,0.443,0.732,"95%",6,"2b",-0.359424158857096,-0.299962635446361,-0.873961362562254,2.10551137318517,-1.63851834054807,3.93812589413448,2.3242584315319,3.14834876812861,5.63353183692167,-1.06635512422861,15.0442649307167,"3",88,"Adalberto Mondesi (KC - 2B,SS) as 2B. Total: -1.07",8
