R,HR,RBI,SB,OBP,K,QS,SV,ERA,WHIP
853,227,797,118,0.3541,1840,158,73,3.391,1.178
782,237,803,108,0.3303,1995,137,70,3.734,1.183
789,236,727,84,0.3349,2217,160,34,3.419,1.161
757,221,728,150,0.3413,1772,117,109,3.77,1.266
727,206,681,89,0.3225,1687,148,129,3.624,1.158
663,195,708,63,0.3131,2052,145,85,3.162,1.097
693,178,627,65,0.3504,1213,84,79,3.574,1.184
680,211,739,101,0.333,1296,82,80,3.946,1.233
719,177,650,92,0.3292,1430,105,56,3.816,1.196
588,160,550,50,0.3296,1797,145,4,4.11,1.241
