Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,POSRANK,POS,Rscaled,HRscaled,RBIscaled,SBscaled,OBPscaled,ERAscaled,WHIPscaled,Kscaled,QSscaled,SVscaled,RSGP,HRSGP,RBISGP,SBSGP,Total,IP,K,W,L,ERA,WHIP,ER,G,GS,QS,CG,SV,Hits,Walks,SVSGP,KSGP,QSSGP,BS,HD
Yusei Kikuchi (LAA - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,c,,,,,,-0.40,-0.35,1.05,0.32,0.00,NA,NA,NA,NA,0.617636724,167.8,187,10,9,3.92,1.22,73,30,30,15,0,0,154,51,0,3.593222313,3.113207547,NA,NA
Triston Casas (BOS - 1B),494,72,25,78,1,0.246,0.344,121,25,1,74,152,0.457,0.801,17,1b,0.11,0.51,0.14,-1.00,0.86,,,,,,4.888888889,3.359120521,5.659630607,0.100121359,0.610530539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sandy Alcantara (MIA - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,c,,,,,,0.19,0.05,-0.26,0.63,0.00,NA,NA,NA,NA,0.607362171,172.8,149,10,9,3.72,1.19,71,28,28,16,3,0,164,42,0,2.863048795,3.320754717,NA,NA
"Xander Bogaerts (SD - 2B,SS)",545,70,15,65,14,0.267,0.326,145,26,1,47,108,0.406,0.732,10,2b,0.04,-0.13,0.23,-0.07,0.50,,,,,,4.75308642,2.015472313,4.716358839,1.401699029,0.580489689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jordan Westburg (BAL - 2B,3B)",510,70,20,71,9,0.257,0.309,131,29,4,38,126,0.446,0.755,9,2b,0.04,0.78,0.81,-0.68,-0.39,,,,,,4.75308642,2.687296417,5.15171504,0.901092233,0.554052946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bryan Woo (SEA - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,c,,,,,,0.42,1.38,-0.95,-0.30,0.00,NA,NA,NA,NA,0.55288854,138,129,9,7,3.64,1.09,56,26,26,13,0,0,121,30,0,2.478746943,2.698113208,NA,NA
Mark Vientos (NYM - 3B),556,73,29,87,1,0.243,0.303,135,25,1,48,179,0.45,0.752,10,3b,0.15,1.17,0.98,-0.94,-0.81,,,,,,4.956790123,3.896579805,6.312664908,0.100121359,0.549018375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isaac Paredes (HOU - 1B,3B)",514,73,23,77,2,0.241,0.328,124,24,1,67,100,0.426,0.754,15,3b,0.15,0.28,0.28,-0.83,0.61,,,,,,4.956790123,3.090390879,5.58707124,0.200242718,0.498937169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tanner Scott (LAD - RP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,c,,,,,,0.61,-0.72,-0.09,,0.66,NA,NA,NA,NA,0.470697324,66.1,80,5,3,3.06,1.21,22,65,NA,NA,NA,25,50,30,3.276409849,NA,NA,1,6
Nick Pivetta (SD - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,c,,,,,,-0.48,0.31,0.60,0.01,0.00,NA,NA,NA,NA,0.438933494,154.4,174,10,9,3.95,1.17,68,28,27,14,0,0,132,49,0,3.343426109,2.905660377,NA,NA
Griffin Jax (MIN - RP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,c,,,,,,0.42,0.81,-0.09,,-0.76,NA,NA,NA,NA,0.387247304,68.1,80,4,3,3.13,1.09,24,67,NA,NA,NA,8,55,19,1.048451152,NA,NA,1,15
Cade Smith (CLE - RP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,c,,,,,,0.80,0.56,0.28,,-1.26,NA,NA,NA,NA,0.370448393,68.6,87,4,3,2.99,1.11,23,67,NA,NA,NA,2,53,23,0.262112788,NA,NA,1,18
"Bryan Reynolds (PIT - LF,CF,RF,DH)",574,79,22,78,9,0.264,0.33,152,28,3,57,143,0.44,0.771,22,of,0.31,0.06,0.45,-0.66,0.19,,,,,,5.364197531,2.956026059,5.659630607,0.901092233,0.345439974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cristopher Sanchez (PHI - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,c,,,,,,0.42,-0.35,-0.36,0.63,0.00,NA,NA,NA,NA,0.336552625,169.8,146,11,8,3.64,1.22,69,29,29,16,1,0,162,46,0,2.805403517,3.320754717,NA,NA
Mike Trout (LAA - CF),414,69,28,72,7,0.257,0.346,106,19,3,56,127,0.52,0.865,30,of,-0.53,0.89,0.01,-0.87,0.82,,,,,,4.685185185,3.762214984,5.224274406,0.700849515,0.316093302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vinnie Pasquantino (KC - 1B,DH)",534,72,22,83,2,0.265,0.333,141,32,2,54,79,0.459,0.791,8,1b,0.11,0.02,0.55,-0.72,0.35,,,,,,4.888888889,2.956026059,6.022427441,0.200242718,0.30417707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Christian Yelich (MIL - LF,DH)",465,74,16,61,22,0.266,0.357,124,23,2,66,118,0.426,0.783,31,of,-0.11,-0.77,-0.79,0.71,1.25,,,,,,5.024691358,2.149837134,4.426121372,2.202669903,0.289433855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
