Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,POSRANK,POS,Rscaled,HRscaled,RBIscaled,SBscaled,OBPscaled,ERAscaled,WHIPscaled,Kscaled,QSscaled,SVscaled,RSGP,HRSGP,RBISGP,SBSGP,Total,IP,K,W,L,ERA,WHIP,ER,G,GS,QS,CG,SV,Hits,Walks,SVSGP,KSGP,QSSGP,BS,HD
MacKenzie Gore (WSH - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,c,,,,,,-0.51,-1.29,0.60,0.32,0.00,NA,NA,NA,NA,-0.882558765,164.4,174,10,10,3.96,1.29,72,31,31,15,0,0,149,62,0,3.343426109,3.113207547,NA,NA
Ranger Suarez (PHI - SP) IL15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,c,,,,,,0.22,-0.76,-0.36,0.01,0.00,NA,NA,NA,NA,-0.893634624,162.6,146,10,8,3.71,1.25,67,34,28,14,1,0,153,50,0,2.805403517,2.905660377,NA,NA
Bryan Abreu (HOU - RP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,c,,,,,,0.02,-0.33,0.54,,-1.18,NA,NA,NA,NA,-0.949773279,71.3,92,4,3,3.28,1.18,26,70,NA,NA,NA,3,54,30,0.393169182,NA,NA,2,19
Carlos Correa (MIN - SS),473,69,19,66,1,0.27,0.347,128,26,2,56,104,0.454,0.8,20,ss,-0.55,0.09,-0.19,-1.78,1.39,,,,,,4.685185185,2.552931596,4.788918206,0.100121359,-1.037960396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Steven Kwan (CLE - LF),564,84,9,55,17,0.279,0.351,158,26,4,63,63,0.39,0.741,34,of,0.73,-1.73,-1.22,0.18,1.01,,,,,,5.703703704,1.209283388,3.990765172,1.702063107,-1.038425236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bo Bichette (TOR - SS),564,74,17,71,10,0.277,0.319,156,31,2,35,116,0.429,0.748,12,ss,-0.18,-0.19,0.18,-0.90,0.00,,,,,,5.024691358,2.284201954,5.15171504,1.001213592,-1.091385282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Pfaadt (ARI - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,c,,,,,,-0.57,0.05,-0.30,-0.30,0.00,NA,NA,NA,NA,-1.123172541,149.7,148,9,8,3.98,1.19,66,31,25,13,0,0,143,35,0,2.843833702,2.698113208,NA,NA
"Jorge Soler (LAA - RF,DH)",483,71,27,74,1,0.233,0.319,113,24,1,61,143,0.453,0.772,44,of,-0.36,0.75,0.16,-1.51,-0.24,,,,,,4.820987654,3.627850163,5.36939314,0.100121359,-1.198753284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jose Berrios (TOR - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,c,,,,,,-1.27,-0.76,0.15,0.63,0.00,NA,NA,NA,NA,-1.24189221,189.8,161,11,11,4.22,1.25,89,31,31,16,1,0,184,54,0,3.093629906,3.320754717,NA,NA
Trevor Megill (MIL - RP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,c,,,,,,-0.78,-0.72,-0.51,,0.75,NA,NA,NA,NA,-1.252984593,59.8,72,3,3,3.58,1.21,24,58,NA,NA,NA,26,50,22,3.407466243,NA,NA,1,3
Austin Wells (NYY - C),399,52,16,55,4,0.231,0.308,92,20,1,44,104,0.41,0.718,13,c,-0.41,-0.21,-0.41,0.12,-0.36,,,,,,3.530864198,2.149837134,3.990765172,0.400485437,-1.26775134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nolan Arenado (STL - 3B),563,68,19,78,3,0.258,0.312,145,28,1,44,93,0.413,0.725,14,3b,-0.32,-0.30,0.35,-0.72,-0.30,,,,,,4.617283951,2.552931596,5.659630607,0.300364078,-1.279870995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nico Hoerner (CHC - 2B,SS)",496,67,7,49,26,0.274,0.324,136,25,2,37,61,0.374,0.698,14,2b,-0.22,-1.57,-1.30,1.40,0.40,,,,,,4.549382716,0.940553746,3.555408971,2.60315534,-1.296201385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Willi Castro (MIN - 2B,3B,SS,LF,CF)",510,72,12,55,19,0.246,0.303,125,26,4,42,133,0.385,0.687,22,2b,0.22,-0.67,-0.73,0.54,-0.71,,,,,,4.888888889,1.61237785,3.990765172,1.902305825,-1.344495627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luis Rengifo (LAA - 2B,3B)",477,62,14,56,19,0.261,0.31,124,20,3,34,86,0.402,0.711,19,2b,-0.65,-0.31,-0.63,0.54,-0.34,,,,,,4.209876543,1.881107492,4.063324538,1.902305825,-1.385460197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pete Fairbanks (TB - RP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,c,,,,,,-0.38,-0.46,-0.98,,0.41,NA,NA,NA,NA,-1.403166446,56,63,3,3,3.43,1.19,21,55,NA,NA,NA,22,46,21,2.883240667,NA,NA,1,5
Ivan Herrera (STL - C),338,47,9,41,6,0.259,0.344,88,17,1,44,83,0.394,0.738,17,c,-0.86,-1.45,-1.44,0.93,1.41,,,,,,3.191358025,1.209283388,2.974934037,0.600728155,-1.416988646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jeremy Pena (HOU - SS),588,76,16,69,17,0.262,0.301,154,29,2,33,119,0.4,0.701,14,ss,-0.03,-0.34,0.03,-0.22,-0.90,,,,,,5.160493827,2.149837134,5.006596306,1.702063107,-1.446526671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jeremiah Estrada (SD - RP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,c,,,,,,-0.11,-0.33,0.17,,-1.18,NA,NA,NA,NA,-1.449290144,62.5,85,4,3,3.33,1.18,23,62,NA,NA,NA,3,46,28,0.393169182,NA,NA,1,16
Nathaniel Lowe (WSH - 1B),526,68,16,69,2,0.265,0.349,139,24,2,68,129,0.407,0.756,20,1b,-0.26,-0.95,-0.60,-0.72,1.09,,,,,,4.617283951,2.149837134,5.006596306,0.200242718,-1.451557442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jake Cronenworth (SD - 1B,2B)",514,68,15,65,5,0.239,0.311,123,27,4,54,109,0.391,0.702,26,2b,-0.13,-0.13,0.23,-1.17,-0.29,,,,,,4.617283951,2.015472313,4.716358839,0.500606796,-1.482270205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nestor Cortes Jr. (MIL - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,c,,,,,,-0.34,0.31,-0.54,-0.93,0.00,NA,NA,NA,NA,-1.487691703,144.4,141,8,7,3.9,1.17,63,36,23,11,0,0,130,38,0,2.709328054,2.283018868,NA,NA
"Maikel Garcia (KC - 2B,3B)",511,67,7,51,28,0.256,0.312,131,26,4,42,101,0.366,0.678,21,2b,-0.22,-1.57,-1.11,1.64,-0.23,,,,,,4.549382716,0.940553746,3.700527704,2.803398058,-1.490430496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Robert Suarez (SD - RP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,c,,,,,,-0.88,-0.46,-0.98,,0.83,NA,NA,NA,NA,-1.492170863,63.7,63,4,3,3.62,1.19,26,63,NA,NA,NA,27,55,21,3.538522637,NA,NA,2,3
Jared Jones (PIT - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,c,,,,,,-0.57,-0.49,-0.16,-0.30,0.00,NA,NA,NA,NA,-1.520390647,145.9,152,8,9,3.98,1.23,65,30,26,13,0,0,131,49,0,2.920694072,2.698113208,NA,NA
"George Springer (TOR - RF,DH)",530,74,19,66,14,0.241,0.312,128,22,2,54,114,0.402,0.714,40,of,-0.11,-0.35,-0.42,-0.14,-0.51,,,,,,5.024691358,2.552931596,4.788918206,1.401699029,-1.538575637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Castellanos (PHI - RF),574,72,21,81,7,0.254,0.3,146,30,2,37,146,0.425,0.725,35,of,-0.28,-0.08,0.67,-0.87,-0.99,,,,,,4.888888889,2.821661238,5.877308707,0.700849515,-1.54500473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Masyn Winn (STL - SS),583,81,14,63,16,0.256,0.308,149,29,5,44,113,0.396,0.704,17,ss,0.35,-0.62,-0.41,-0.32,-0.55,,,,,,5.5,1.881107492,4.571240106,1.601941748,-1.550767001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Martinez (ARI - RP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,c,,,,,,0.26,-1.86,-0.04,,0.08,NA,NA,NA,NA,-1.55537706,66.6,81,4,3,3.19,1.3,24,63,NA,NA,NA,18,52,34,2.359015091,NA,NA,1,9
"Connor Norby (MIA - 2B,3B)",504,67,17,59,9,0.245,0.306,123,27,2,45,155,0.407,0.713,24,2b,-0.22,0.23,-0.35,-0.68,-0.55,,,,,,4.549382716,2.284201954,4.281002639,0.901092233,-1.556338751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aroldis Chapman (BOS - RP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,c,,,,,,-0.19,-1.73,0.43,,-0.09,NA,NA,NA,NA,-1.579239465,61.6,90,4,3,3.36,1.29,23,62,NA,NA,NA,16,43,36,2.096902303,NA,NA,1,9
"Colton Cowser (BAL - LF,CF,RF)",481,72,20,68,8,0.243,0.324,117,23,2,58,163,0.426,0.75,46,of,-0.28,-0.22,-0.28,-0.77,-0.04,,,,,,4.888888889,2.687296417,4.934036939,0.800970874,-1.58395521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drew Rasmussen (TB - SP,RP)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,c,,,,,,1.09,0.72,-1.53,-1.86,0.00,NA,NA,NA,NA,-1.590788897,113.3,112,7,6,3.41,1.14,43,37,17,8,0,0,101,28,0,2.152090369,1.660377358,NA,NA
"Rhys Hoskins (MIL - 1B,DH)",482,64,25,75,3,0.221,0.304,107,21,1,58,153,0.425,0.729,24,1b,-0.63,0.51,-0.11,-0.44,-0.98,,,,,,4.345679012,3.359120521,5.441952507,0.300364078,-1.653227644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Michael Toglia (COL - 1B,RF)",476,63,23,66,7,0.225,0.305,107,20,3,54,165,0.43,0.735,26,1b,-0.72,0.18,-0.85,0.67,-0.94,,,,,,4.277777778,3.090390879,4.788918206,0.700849515,-1.653683187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jurickson Profar (ATL - LF),520,76,15,65,7,0.257,0.339,133,27,1,65,98,0.401,0.74,47,of,0.06,-0.91,-0.50,-0.87,0.54,,,,,,5.160493827,2.015472313,4.716358839,0.700849515,-1.674993885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brandon Nimmo (NYM - LF,CF)",494,75,17,65,7,0.248,0.334,122,23,3,64,125,0.414,0.747,51,of,-0.03,-0.63,-0.50,-0.87,0.35,,,,,,5.092592593,2.284201954,4.716358839,0.700849515,-1.678774726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kirby Yates (LAD - RP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,c,,,,,,-0.24,-0.46,-0.40,,-0.59,NA,NA,NA,NA,-1.699131929,59.6,74,4,2,3.38,1.19,22,59,NA,NA,NA,10,43,28,1.31056394,NA,NA,1,12
Zach Neto (LAA - SS),467,65,19,64,21,0.249,0.303,116,25,1,36,118,0.433,0.736,19,ss,-0.85,0.09,-0.34,0.16,-0.80,,,,,,4.413580247,2.552931596,4.643799472,2.102548544,-1.732155001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clay Holmes (NYM - RP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,c,,,,,,-0.94,-2.12,2.73,,-1.43,NA,NA,NA,NA,-1.748189531,143.9,134,9,7,3.64,1.32,58,42,NA,NA,NA,0,136,54,0,NA,NA,1,0
"Royce Lewis (MIN - 3B,DH)",432,61,22,67,6,0.252,0.315,109,22,1,39,111,0.458,0.773,17,3b,-0.97,0.14,-0.42,-0.37,-0.13,,,,,,4.141975309,2.956026059,4.861477573,0.600728155,-1.751477518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Josh Lowe (TB - LF,CF,RF)",468,63,17,63,25,0.251,0.313,118,27,2,42,151,0.428,0.741,38,of,-1.03,-0.63,-0.64,1.02,-0.48,,,,,,4.277777778,2.284201954,4.571240106,2.503033981,-1.754375737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Max Scherzer (TOR - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,c,,,,,,-0.13,0.85,-1.26,-1.24,0.00,NA,NA,NA,NA,-1.783439751,114.7,120,7,6,3.83,1.13,49,24,20,10,0,0,100,30,0,2.30581111,2.075471698,NA,NA
"Jasson Dominguez (NYY - LF,CF)",465,66,17,60,22,0.246,0.319,115,20,2,50,131,0.412,0.731,43,of,-0.78,-0.63,-0.86,0.71,-0.24,,,,,,4.481481481,2.284201954,4.353562005,2.202669903,-1.803010351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ryan Pressly (CHC - RP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,c,,,,,,-0.59,-0.72,-1.08,,0.58,NA,NA,NA,NA,-1.80846354,59.9,61,3,3,3.51,1.21,23,59,NA,NA,NA,24,54,18,3.145353455,NA,NA,2,5
Mitch Keller (PIT - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,c,,,,,,-1.21,-1.16,0.22,0.32,0.00,NA,NA,NA,NA,-1.828145906,178.4,163,10,11,4.2,1.28,83,30,30,15,1,0,175,54,0,3.132060091,3.113207547,NA,NA
JJ Bleday (ATH - CF),539,73,21,69,5,0.228,0.317,123,30,3,70,132,0.413,0.73,61,of,-0.19,-0.08,-0.20,-1.08,-0.32,,,,,,4.956790123,2.821661238,5.006596306,0.500606796,-1.879928419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bowden Francis (TOR - SP,RP)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,c,,,,,,-1.01,0.31,-0.57,-0.62,0.00,NA,NA,NA,NA,-1.881340293,151.7,140,9,8,4.13,1.17,70,32,26,12,0,0,137,41,0,2.690112961,2.490566038,NA,NA
Sean Manaea (NYM - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,c,,,,,,-1.01,-0.49,-0.09,-0.30,0.00,NA,NA,NA,NA,-1.889536103,153.9,154,10,8,4.13,1.23,71,27,27,13,0,0,136,53,0,2.959124258,2.698113208,NA,NA
Chris Bassitt (TOR - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,c,,,,,,-1.10,-1.29,0.15,0.32,0.00,NA,NA,NA,NA,-1.913898415,176.1,161,10,10,4.16,1.29,81,30,30,15,0,0,167,60,0,3.093629906,3.113207547,NA,NA
Kumar Rocker (TEX - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,c,,,,,,0.25,0.05,-1.29,-0.93,0.00,NA,NA,NA,NA,-1.928262675,113.7,119,7,6,3.7,1.19,47,26,22,11,0,0,101,34,0,2.286596017,2.283018868,NA,NA
Bo Naylor (CLE - C),371,47,14,47,7,0.216,0.297,80,17,1,43,114,0.383,0.679,20,c,-0.86,-0.57,-1.00,1.33,-0.90,,,,,,3.191358025,1.881107492,3.410290237,0.700849515,-1.98701406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jesus Luzardo (PHI - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,c,,,,,,-0.75,-0.49,-0.16,-0.62,0.00,NA,NA,NA,NA,-2.007902576,148.4,152,9,8,4.04,1.23,67,33,25,12,0,0,132,50,0,2.920694072,2.490566038,NA,NA
Xavier Edwards (MIA - SS),516,68,4,43,31,0.281,0.346,145,24,4,51,85,0.366,0.713,22,ss,-0.63,-2.05,-1.90,1.14,1.34,,,,,,4.617283951,0.537459283,3.12005277,3.103762136,-2.10278244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colt Keith (DET - 2B),481,61,15,61,5,0.261,0.318,125,23,4,41,110,0.417,0.735,25,2b,-0.74,-0.13,-0.15,-1.17,0.08,,,,,,4.141975309,2.015472313,4.426121372,0.500606796,-2.104260625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Keegan Akin (BAL - RP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,c,,,,,,-0.62,0.05,-0.19,,-1.35,NA,NA,NA,NA,-2.108566894,69.7,78,4,3,3.52,1.15,27,64,NA,NA,NA,1,60,20,0.131056394,NA,NA,0,13
Ronel Blanco (HOU - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,c,,,,,,-0.95,-1.29,0.12,0.01,0.00,NA,NA,NA,NA,-2.114644018,162.3,160,10,9,4.11,1.29,74,29,29,14,1,0,141,68,0,3.074414813,2.905660377,NA,NA
Clarke Schmidt (NYY - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,c,,,,,,-0.43,-0.62,-0.47,-0.62,0.00,NA,NA,NA,NA,-2.13016278,143.2,143,9,8,3.93,1.24,62,30,26,12,0,0,130,47,0,2.747758239,2.490566038,NA,NA
Kenley Jansen (LAA - RP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,c,,,,,,-1.37,-0.59,-0.77,,0.50,NA,NA,NA,NA,-2.22602188,58.4,67,3,3,3.8,1.2,25,58,NA,NA,NA,23,48,22,3.014297061,NA,NA,1,3
Yu Darvish (SD - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,c,,,,,,-0.89,0.05,-0.81,-0.62,0.00,NA,NA,NA,NA,-2.272878665,139,133,9,8,4.09,1.19,63,25,25,12,0,0,126,39,0,2.555607313,2.490566038,NA,NA
Cedric Mullins II (BAL - CF),468,65,16,59,27,0.238,0.301,112,22,3,42,105,0.403,0.704,48,of,-0.86,-0.77,-0.93,1.23,-0.95,,,,,,4.413580247,2.149837134,4.281002639,2.703276699,-2.275926699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reese Olson (DET - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,c,,,,,,-0.45,-0.62,-0.92,-0.30,0.00,NA,NA,NA,NA,-2.294414276,141,130,8,8,3.94,1.24,62,27,27,13,0,0,129,45,0,2.497962036,2.698113208,NA,NA
Gavin Williams (CLE - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,c,,,,,,-0.48,-0.89,-0.64,-0.30,0.00,NA,NA,NA,NA,-2.315740164,136.4,138,8,8,3.95,1.26,60,26,26,13,0,0,120,52,0,2.651682776,2.698113208,NA,NA
Dylan Crews (WSH - RF),518,67,15,61,26,0.244,0.298,127,25,4,40,128,0.394,0.692,42,of,-0.69,-0.91,-0.79,1.13,-1.06,,,,,,4.549382716,2.015472313,4.426121372,2.60315534,-2.323834867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lane Thomas (CLE - CF,RF)",496,67,16,62,22,0.242,0.303,120,27,3,44,140,0.406,0.71,49,of,-0.69,-0.77,-0.71,0.71,-0.87,,,,,,4.549382716,2.149837134,4.498680739,2.202669903,-2.338526866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jeffrey Springs (ATH - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,c,,,,,,-0.48,-0.35,-0.92,-0.62,0.00,NA,NA,NA,NA,-2.368499184,131.9,130,8,7,3.95,1.22,58,30,25,12,0,0,123,38,0,2.497962036,2.490566038,NA,NA
Robert Garcia (TEX - RP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,c,,,,,,-0.54,-0.59,-0.51,,-0.76,NA,NA,NA,NA,-2.392210719,63.1,72,4,3,3.49,1.2,24,63,NA,NA,NA,8,53,23,1.048451152,NA,NA,1,11
Nick Lodolo (CIN - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,c,,,,,,-0.83,-0.49,-0.47,-0.62,0.00,NA,NA,NA,NA,-2.405219093,132.2,143,8,8,4.07,1.23,60,24,24,12,0,0,121,43,0,2.747758239,2.490566038,NA,NA
Michael Wacha (KC - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,c,,,,,,-0.92,-0.89,-0.61,0.01,0.00,NA,NA,NA,NA,-2.406976274,161.8,139,10,9,4.1,1.26,74,28,28,14,0,0,155,48,0,2.670897869,2.905660377,NA,NA
"Lars Nootbaar (STL - LF,CF,RF)",441,65,17,57,9,0.248,0.346,109,22,2,66,105,0.425,0.77,65,of,-0.86,-0.63,-1.08,-0.66,0.82,,,,,,4.413580247,2.284201954,4.135883905,0.901092233,-2.4163203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Matt Shaw (CHC - 2B,3B,SS)",427,56,14,53,18,0.245,0.308,104,17,3,39,104,0.398,0.705,27,2b,-1.17,-0.31,-0.92,0.42,-0.44,,,,,,3.802469136,1.881107492,3.845646438,1.802184466,-2.420324687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brady Singer (CIN - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,c,,,,,,-1.53,-1.29,0.08,0.32,0.00,NA,NA,NA,NA,-2.420698095,170.7,159,10,10,4.31,1.29,82,29,29,15,0,0,171,50,0,3.055199721,3.113207547,NA,NA
"Ryan Jeffers (MIN - C,DH)",361,48,17,51,3,0.237,0.302,85,18,1,33,93,0.432,0.734,15,c,-0.77,-0.04,-0.70,-0.28,-0.65,,,,,,3.259259259,2.284201954,3.700527704,0.300364078,-2.443679939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Busch (CHC - 1B),477,66,19,67,3,0.238,0.318,113,24,2,56,150,0.417,0.735,25,1b,-0.44,-0.47,-0.77,-0.44,-0.34,,,,,,4.481481481,2.552931596,4.861477573,0.300364078,-2.458964022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pete Crow-Armstrong (CHC - CF),490,67,14,59,30,0.243,0.289,119,21,6,32,137,0.4,0.689,41,of,-0.69,-1.04,-0.93,1.55,-1.42,,,,,,4.549382716,1.881107492,4.281002639,3.003640777,-2.538695283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Camilo Doval (SF - RP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,c,,,,,,-0.16,-1.35,-0.35,,-0.68,NA,NA,NA,NA,-2.541016268,63,75,4,3,3.35,1.26,23,62,NA,NA,NA,9,50,29,1.179507546,NA,NA,1,12
"Heliot Ramos (SF - LF,CF,RF)",514,66,21,69,8,0.249,0.306,128,24,3,42,149,0.432,0.738,45,of,-0.78,-0.08,-0.20,-0.77,-0.75,,,,,,4.481481481,2.821661238,5.006596306,0.800970874,-2.579975713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Merrill Kelly (ARI - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,c,,,,,,-0.89,-1.02,-0.67,0.01,0.00,NA,NA,NA,NA,-2.580323297,153.3,137,10,8,4.09,1.27,70,26,26,14,0,0,145,49,0,2.632467684,2.905660377,NA,NA
Luis Severino (ATH - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,c,,,,,,-1.51,-1.29,-0.19,0.32,0.00,NA,NA,NA,NA,-2.666808371,172.4,151,9,10,4.3,1.29,82,30,30,15,1,0,165,57,0,2.90147898,3.113207547,NA,NA
Erick Fedde (STL - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,c,,,,,,-1.10,-1.16,-0.43,0.01,0.00,NA,NA,NA,NA,-2.677533686,166.7,144,10,10,4.16,1.28,77,29,29,14,0,0,161,52,0,2.766973332,2.905660377,NA,NA
"Tommy Edman (LAD - SS,CF)",491,68,13,58,23,0.247,0.301,121,24,3,38,97,0.39,0.691,24,ss,-0.63,-0.77,-0.78,0.36,-0.90,,,,,,4.617283951,1.746742671,4.208443272,2.302791262,-2.713520153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
