R,HR,RBI,SB,OBP,K,QS,SV,ERA,WHIP
799,246,742,160,0.347,1693,102,78,3.647,1.188
867,248,806,131,0.3543,1868,110,65,4.08,1.231
810,236,761,165,0.3383,2115,156,32,3.695,1.191
815,271,803,168,0.3363,1904,113,99,4.287,1.281
815,249,747,88,0.3194,2045,137,122,3.883,1.208
763,230,785,130,0.3318,2127,164,70,3.602,1.213
733,254,778,66,0.34,2117,160,58,3.72,1.196
810,241,779,212,0.3218,1931,133,85,4.005,1.251
639,190,639,144,0.3248,1543,123,91,4.103,1.227
732,187,665,103,0.3305,1588,95,76,3.863,1.241
