"Player","IP","K","SV","BS","HD","ERA","WHIP","ER","G","W","L","Rost%","POSRANK","Hits","Walks","POS","ERAscaled","WHIPscaled","Kscaled","SVscaled","SVSGP","GS","QS","CG","QSscaled","KSGP","QSSGP"
"Casey Mize (DET - SP)",143.7,125,0,NA,NA,4.13,1.26,66,27,9,8,"17%",73,142,40,"c",-0.739114473416382,-0.558721620034885,-1.04173489307157,0,0,27,12,0,-0.605380995597773,1.77388836329234,1.47871545929798
"Reynaldo Lopez (ATL - SP)",131.8,133,0,NA,NA,3.96,1.27,58,31,8,7,"11%",74,121,46,"c",-0.257329732309077,-0.689876929902229,-0.747770902081359,0,0,23,11,0,-0.988533524457123,1.88741721854305,1.35548917102315
"Yusei Kikuchi (LAA - SP)",167,168,0,NA,NA,4.27,1.32,79,31,9,10,"21%",75,161,60,"c",-1.13587837785769,-1.34565347923895,0.538321558500832,0,0,30,14,0,0.160924062120927,2.3841059602649,1.72516803584765
"Trevor Rogers (BAL - SP)",144.3,125,0,NA,NA,4.07,1.28,65,26,9,8,"81%",76,138,47,"c",-0.569072800084393,-0.821032239769573,-1.04173489307157,0,0,26,13,1,-0.222228466738423,1.77388836329234,1.60194174757282
"Shane Smith (CWS - SP)",157.9,150,0,NA,NA,4.22,1.28,74,29,8,10,"16%",77,143,59,"c",-0.994176983414366,-0.821032239769573,-0.123097421227152,0,0,29,13,0,-0.222228466738423,2.1286660359508,1.60194174757282
"Chris Bassitt (BAL - SP)",168.1,151,0,NA,NA,4.3,1.32,80,33,10,10,"16%",78,165,58,"c",-1.22089921452369,-1.34565347923895,-0.0863519223533755,0,0,29,14,1,0.160924062120927,2.14285714285714,1.72516803584765
"Grayson Rodriguez (LAA - SP) IL10",119.9,128,0,NA,NA,3.95,1.24,53,22,7,7,"14%",79,109,40,"c",-0.228989453420413,-0.296411000300197,-0.931498396450244,0,0,22,11,0,-0.988533524457123,1.81646168401135,1.35548917102315
"Clay Holmes (NYM - SP)",151.8,124,0,NA,NA,3.95,1.35,67,28,10,9,"19%",80,147,57,"c",-0.228989453420413,-1.73911940884098,-1.07848039194535,0,0,27,13,0,-0.222228466738423,1.759697256386,1.60194174757282
"Michael Wacha (KC - SP)",165.8,129,0,NA,NA,4.32,1.29,80,29,10,10,"16%",81,165,49,"c",-1.27757977230102,-0.952187549636918,-0.894752897576467,0,0,29,14,0,0.160924062120927,1.83065279091769,1.72516803584765
"Hunter Greene (CIN - SP)",87.6,107,0,NA,NA,3.69,1.12,36,16,6,4,"83%",82,70,28,"c",0.507857797684877,1.27745271810793,-1.70315387279956,0,0,15,8,1,-2.13799111103517,1.51844843897824,0.985810306198656
"Jack Leiter (TEX - SP)",152.7,147,0,NA,NA,4.3,1.3,73,29,9,9,"20%",83,136,62,"c",-1.22089921452369,-1.08334285950426,-0.233333917848483,0,0,28,12,0,-0.605380995597773,2.08609271523179,1.47871545929798
"Cam Schlittler (NYY - SP)",127.1,127,0,NA,NA,4.01,1.28,57,24,8,7,"88%",84,114,49,"c",-0.399031126752402,-0.821032239769573,-0.968243895324021,0,0,24,11,0,-0.988533524457123,1.80227057710501,1.35548917102315
"Braxton Garrett (MIA - SP)",122.6,110,0,NA,NA,3.95,1.22,54,29,7,7,"2%",85,121,29,"c",-0.228989453420413,-0.0341003805655086,-1.59291737617823,0,0,22,10,1,-1.37168605331647,1.56102175969726,1.23226288274832
"Joey Cantillo (CLE - SP,RP)",132.4,140,0,NA,NA,3.89,1.31,57,43,7,7,"13%",86,116,57,"c",-0.058947780088423,-1.21449816937161,-0.490552409964921,0,0,21,9,0,-1.75483858217582,1.98675496688742,1.10903659447349
"Cade Horton (CHC - SP)",129.5,113,0,NA,NA,4.04,1.25,58,24,8,7,"64%",87,118,43,"c",-0.484051963418397,-0.427566310167541,-1.4826808795569,0,0,24,11,0,-0.988533524457123,1.60359508041627,1.35548917102315
"Mike Burrows (HOU - SP,RP)",131.4,131,0,NA,NA,4.14,1.26,60,30,7,7,"19%",88,121,45,"c",-0.767454752305046,-0.558721620034885,-0.821261899828913,0,0,25,10,0,-1.37168605331647,1.85903500473037,1.23226288274832
"Jameson Taillon (CHC - SP)",149.5,116,0,NA,NA,4.44,1.24,74,26,9,9,"8%",89,149,36,"c",-1.617663118965,-0.296411000300197,-1.37244438293557,0,0,27,12,0,-0.605380995597773,1.64616840113529,1.47871545929798
"Zach Eflin (BAL - SP)",142.1,110,0,NA,NA,4.39,1.24,69,29,9,8,"5%",90,149,28,"c",-1.47596172452167,-0.296411000300197,-1.59291737617823,0,0,24,11,0,-0.988533524457123,1.56102175969726,1.35548917102315
"Noah Cameron (KC - SP)",147.8,125,0,NA,NA,4.25,1.3,70,27,9,9,"23%",91,144,49,"c",-1.07919782008036,-1.08334285950426,-1.04173489307157,0,0,27,13,0,-0.222228466738423,1.77388836329234,1.60194174757282
"Kodai Senga (NYM - SP)",122.6,123,0,NA,NA,3.96,1.31,54,29,8,6,"28%",92,107,54,"c",-0.257329732309077,-1.21449816937161,-1.11522589081913,0,0,21,10,0,-1.37168605331647,1.74550614947966,1.23226288274832
"Braxton Ashcraft (PIT - SP,RP)",131.9,119,0,NA,NA,3.93,1.29,58,37,7,7,"18%",93,129,42,"c",-0.172308895643083,-0.952187549636918,-1.26220788631424,0,0,22,10,0,-1.37168605331647,1.68874172185431,1.23226288274832
"Bubba Chandler (PIT - SP)",144.1,136,0,NA,NA,4.19,1.31,67,33,8,8,"63%",94,135,54,"c",-0.909156146748373,-1.21449816937161,-0.637534405460029,0,0,26,11,0,-0.988533524457123,1.92999053926206,1.35548917102315
"Brayan Bello (BOS - SP)",157.1,128,0,NA,NA,4.26,1.34,74,28,10,9,"16%",95,156,55,"c",-1.10753809896903,-1.60796409897364,-0.931498396450244,0,0,28,13,0,-0.222228466738423,1.81646168401135,1.60194174757282
"Chad Patrick (MIL - SP)",140.8,133,0,NA,NA,4.34,1.28,68,27,8,8,"7%",96,133,47,"c",-1.33426033007835,-0.821032239769573,-0.747770902081359,0,0,26,12,0,-0.605380995597773,1.88741721854305,1.47871545929798
"Zebby Matthews (MIN - SP)",116.6,114,0,NA,NA,4.1,1.24,53,29,7,7,"3%",97,115,30,"c",-0.654093636750386,-0.296411000300197,-1.44593538068312,0,0,21,9,0,-1.75483858217582,1.61778618732261,1.10903659447349
"Tatsuya Imai (HOU - SP)",146.8,149,0,NA,NA,4.29,1.33,70,26,8,7,"63%",98,133,63,"c",-1.19255893563502,-1.47680878910629,-0.159842920100929,0,0,26,13,3,-0.222228466738423,2.11447492904447,1.60194174757282
"Tyler Mahle (SF - SP)",130.5,108,0,NA,NA,4.12,1.28,60,24,8,8,"4%",99,127,41,"c",-0.710774194527717,-0.821032239769573,-1.66640837392578,0,0,24,11,0,-0.988533524457123,1.53263954588458,1.35548917102315
"Ian Seymour (TB - SP,RP)",113.3,110,0,NA,NA,4.04,1.22,51,38,6,6,"14%",100,103,35,"c",-0.484051963418397,-0.0341003805655086,-1.59291737617823,0,0,16,8,0,-2.13799111103517,1.56102175969726,0.985810306198656
